Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
SAH/RTT,Perspectives on Psychological Science,NO,"NA","NA","NA","NA","NA","NA",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,PSYCHOLOGICAL MEDICINE,YES,Correspondence,"Usual Max
Word count: 1500; Abstract: No; References: max 20
APA  style; Tables/figures: Max 1; Supplementary material online only: No. Please note, Correspondence papers must be in response to content published in PSM","YES (provide number of words/comments below), 1500",NOT STATED,"YES (provide number of references below), max 20",NOT STATED,YES (opens another page),Commentary,"Usual Max Word count: 2000 by invitation of editor; Abstract: No; References: max 20
APA style; Tables/figures: Not usually; Supplementary material online only: Yes","YES (provide number of words/comments below), 2000",NOT STATED,"YES (provide number of references below), max 20",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,PSYCHOLOGICAL MEDICINE,YES,Correspondence,"Correspondence***	1500	No	max 20, APA style   Max 1	   No

(This in a table. The column headers are: article type, usual max word count, abstract, references, tables/figures, and supplementary materials.)

*** Please note, Correspondence papers must be in response to content published in PSM","YES (provide number of words/comments below), 1500 words",NOT STATED,"YES (provide number of references below), max 20 references",NOT STATED,YES (opens another page),Commentary,"Commentary	2000-By invitation of editor    No	max 20-APA style . Not usually . Yes

(Again this is in a table. The column headers are: article type, usual max word count, abstract, references, tables/figures, and supplementary materials.)","YES (provide number of words/comments below), 2000",NOT STATED,"YES (provide number of references below), max 20","NOT STATED, does say ""by invitation of editor""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,PSYCHOLOGICAL MEDICINE,YES,Correspondence,"Usual Max
Word count: 1500; Abstract: No; References: max 20
APA  style; Tables/figures: Max 1; Supplementary material online only: No. Please note, Correspondence papers must be in response to content published in PSM","YES (provide number of words/comments below), 1500 words",NOT STATED,"YES (provide number of references below), max 20 references",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PSYCHOLOGICAL METHODS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,PSYCHOLOGICAL METHODS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,PSYCHOLOGICAL METHODS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,PSYCHOLOGICAL SCIENCE,YES,Commentary,"""Commentary - Commentaries criticize and/or supplement articles previously published in Psychological Science.""","YES (provide number of words/comments below), ""1,000 words (includes main text, notes, acknowledgments, and appendices; does not include cover page, Author Contributions, or reference list)... Note: For Commentaries or Replies to Commentaries reporting new data, the Method and Results sections are not included in the word count.""",NOT STATED,"YES (provide number of references below), ""20 references.""","YES, ""The action editor typically solicits feedback on a submitted Commentary from the lead author of the target article, in addition to reviews by two independent experts.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,PSYCHOLOGICAL SCIENCE,YES,Commentary,"Commentary. Commentaries criticize and/or supplement articles previously published in Psychological Science. They are limited to

1,000 words (includes main text, notes, acknowledgments, and appendices; does not include cover page, Author Contributions, or reference list)
20 references
1 figure (no more than 2 panels) or 1 table
Note: For Commentaries or Replies to Commentaries reporting new data, the Method and Results sections are not included in the word count.

The action editor typically solicits feedback on a submitted Commentary from the lead author of the target article, in addition to reviews by two independent experts. Upon acceptance of a Commentary that is critical of a paper previously published in Psychological Science, the action editor will invite the lead author of the target article to submit a Reply to Commentary (see below).","YES (provide number of words/comments below), 1,000 words (includes main text, notes, acknowledgments, and appendices; does not include cover page, Author Contributions, or reference list)",NOT STATED,"YES (provide number of references below), 20","YES, The action editor typically solicits feedback on a submitted Commentary from the lead author of the target article, in addition to reviews by two independent experts.",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,PSYCHOLOGICAL SCIENCE,YES,Commentary,"Commentary. Commentaries criticize and/or supplement articles previously published in Psychological Science. They are limited to

1,000 words (includes main text, notes, acknowledgments, and appendices; does not include cover page, Author Contributions, or reference list)
20 references
1 figure (no more than 2 panels) or 1 table
Note: For Commentaries or Replies to Commentaries reporting new data, the Method and Results sections are not included in the word count.

The action editor typically solicits feedback on a submitted Commentary from the lead author of the target article, in addition to reviews by two independent experts. Upon acceptance of a Commentary that is critical of a paper previously published in Psychological Science, the action editor will invite the lead author of the target article to submit a Reply to Commentary (see below).","YES (provide number of words/comments below), 1,000 words (includes main text, notes, acknowledgments, and appendices; does not include cover page, Author Contributions, or reference list)",NOT STATED,"YES (provide number of references below), 20","YES, The action editor typically solicits feedback on a submitted Commentary from the lead author of the target article, in addition to reviews by two independent experts.",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,PSYCHOTHERAPY AND PSYCHOSOMATICS,YES,Letters (Correspondence),They concern an article in this journal and should not exceed 500 words of text plus a maximum of 10 references.,"YES (provide number of words/comments below), 500 words",NOT STATED,"YES (provide number of references below), 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,PSYCHOTHERAPY AND PSYCHOSOMATICS,YES,Letters: Correspondence,"Letters are encouraged if they directly concern articles recently published in the journal. If accepted, the editors reserve the right to submit such letters to the authors of the articles concerned prior to publication, in order to permit them to respond in the same issue of the journal.
In exceptional cases, Letters may also address data published in another journal or general subjects related to matters discussed in the journal. More information is available in the downloadable Letter sample below....They concern an article in this journal and should not exceed 500 words of text plus a maximum of 10 references.","YES (provide number of words/comments below), 500",NOT STATED,"YES (provide number of references below), 10",NOT STATED,YES (opens another page),Letters: Letters,"Letters are encouraged if they directly concern articles recently published in the journal. If accepted, the editors reserve the right to submit such letters to the authors of the articles concerned prior to publication, in order to permit them to respond in the same issue of the journal.
In exceptional cases, Letters may also address data published in another journal or general subjects related to matters discussed in the journal.

More information is available in the downloadable Letter sample below....
Letters: They may be concerned with preliminary or pilot findings, case reports, secondary analyses of published trials, novel hypotheses. This type of letter should not exceed 1000 words of text, may only have one table or figure, plus a maximum of 10 references. No abstract is required. Online supplementary material (information below) is permitted.","YES (provide number of words/comments below), 1000",NOT STATED,"YES (provide number of references below), 10","NOT STATED, There's a general statement that they are a peer-reviewed journal, but this is not in relation to the 'letters' article type.",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,PSYCHOTHERAPY AND PSYCHOSOMATICS,YES,Letters (Correspondence),They concern an article in this journal and should not exceed 500 words of text plus a maximum of 10 references.,"YES (provide number of words/comments below), 500 words",NOT STATED,"YES (provide number of references below), 10",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/TEH,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TEH,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/TEH,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,QUARTERLY JOURNAL OF ECONOMICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,QUARTERLY JOURNAL OF ECONOMICS,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
